file,scene,blur_sigma,total_voxels,signal_voxels,percent_volume
NJB-III-55 86.3-10P-3.5m-0.2 20x .lif,n1_t1_a,2.0,9437184,3727126,39.49404822455512
NJB-III-55 86.3-10P-3.5m-0.2 20x .lif,n1_t1_b,2.0,13631488,6838460,50.166643582857574
NJB-III-55 86.3-10P-3.5m-0.2 20x .lif,n1_t1_c,2.0,10485760,3534480,33.707427978515625
NJB-III-55 86.3-10P-3.5m-0.2 20x .lif,n2_t1_a,2.0,8388608,3065889,36.54824495315552
NJB-III-55 86.3-10P-3.5m-0.2 20x .lif,n2_t1_b,2.0,9437184,3523816,37.339697943793404
NJB-III-55 86.3-10P-3.5m-0.2 20x .lif,n2_t1_c,2.0,8388608,3409325,40.64232110977173
NJB-III-55 86.3-10P-3.5m-0.2 20x .lif,n3_t1_a,2.0,8388608,3279868,39.09907341003418
NJB-III-55 86.3-10P-3.5m-0.2 20x .lif,n3_t1_b,2.0,9437184,3648076,38.65640428331163
NJB-III-55 86.3-10P-3.5m-0.2 20x .lif,n3_t1_c,2.0,9437184,3897900,41.30363464355469
NJB-III-55 86.3-10P-3.5m-0.2 20x .lif,n1_t2_a,2.0,10485760,4054399,38.665761947631836
NJB-III-55 86.3-10P-3.5m-0.2 20x .lif,n1_t2_b,2.0,9437184,3851444,40.81136915418837
NJB-III-55 86.3-10P-3.5m-0.2 20x .lif,n1_t2_c,2.0,13631488,8765464,64.30306067833533
NJB-III-55 86.3-10P-3.5m-0.2 20x .lif,n1_t2_40x,2.0,13631488,4139654,30.368320758526142
NJB-III-55 86.3-10P-3.5m-0.2 20x .lif,n2_t2_a,2.0,9437184,3283798,34.79637569851345
NJB-III-55 86.3-10P-3.5m-0.2 20x .lif,n2_t2_b,2.0,12582912,4304634,34.21015739440918
NJB-III-55 86.3-10P-3.5m-0.2 20x .lif,n2_t2_c,2.0,14680064,6172148,42.04442160470145
NJB-III-55 86.3-10P-3.5m-0.2 20x .lif,n2_t2_40x,2.0,17825792,6206907,34.819810530718634
NJB-III-55 86.3-10P-3.5m-0.2 20x .lif,n3_t2_a,2.0,12582912,5154546,40.964651107788086
NJB-III-55 86.3-10P-3.5m-0.2 20x .lif,n3_t2_b,2.0,10485760,4325650,41.25261306762695
NJB-III-55 86.3-10P-3.5m-0.2 20x .lif,n3_t2_c,2.0,8388608,3211469,38.28369379043579
NJB-III-55 86.3-10P-3.5m-0.2 20x .lif,n3_t2_40x,2.0,27262976,11449208,41.99544466458834
